"subj","condition","nAlt","val1","val2","val3","upVal","leftVal","rightVal","rt","chosenPos","correctPos","conf","rt2","corr","targetPos","distractorPos","dudPos","chosenItem"
"sub01",0.85,3,100,90,76,76,90,100,0.440189199522138,"left","right",4,0.139773999806494,0,"right","left","up","distractor"
"sub01",0.5,3,100,90,45,45,100,90,0.432560199871659,"left","left",4,0.0191858997568488,1,"left","right","up","target"
"sub01",0.95,3,100,90,86,86,90,100,0.40617399988696,"left","right",4,0.0232754996977746,0,"right","left","up","distractor"
"sub01",0,2,100,90,0,100,90,0,0.441236899700016,"left","up",2,0.233829400036484,0,"up","left","right","distractor"
"sub01",0.5,3,100,90,45,90,100,45,0.496070299297571,"up","left",2,0.0778065999038517,0,"left","up","right","distractor"
"sub01",0,2,100,90,0,0,100,90,0.453559399582446,"left","left",4,0.0934984995983541,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,100,90,45,0.473389999940991,"left","up",4,0.0982364998199046,0,"up","left","right","distractor"
"sub01",0.3,3,100,90,27,27,90,100,0.548670699354261,"left","right",2,0.251344699878246,0,"right","left","up","distractor"
"sub01",0.5,3,100,90,45,90,45,100,0.618240799754858,"up","right",2,0.0791879994794726,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,0,90,100,0.542283699847758,"left","right",4,0.234167999587953,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,90,100,86,0.384548699483275,"up","left",1,0.342632399406284,0,"left","up","right","distractor"
"sub01",0.7,3,100,90,63,63,100,90,0.453658299986273,"left","left",4,0.222918499726802,1,"left","right","up","target"
"sub01",0.3,3,100,90,27,100,27,90,0.553555499296635,"up","up",2,0.133587799500674,1,"up","right","left","target"
"sub01",0.5,3,100,90,45,45,90,100,0.55494729988277,"left","right",4,0.0292451996356249,0,"right","left","up","distractor"
"sub01",0.3,3,100,90,27,100,90,27,0.609450899530202,"up","up",2,0.107647899538279,1,"up","left","right","target"
"sub01",0.95,3,100,90,86,100,86,90,0.476231799460948,"up","up",2,0.0784275997430086,1,"up","right","left","target"
"sub01",0.3,3,100,90,27,27,100,90,0.498783899471164,"left","left",4,0.0680684996768832,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,100,45,90,0.513296299614012,"up","up",3,0.0505845998413861,1,"up","right","left","target"
"sub01",0.85,3,100,90,76,76,100,90,0.679973299615085,"left","left",2,0.242514199577272,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,90,100,76,0.497991999611259,"up","left",4,0.0988912996836007,0,"left","up","right","distractor"
"sub01",0.95,3,100,90,86,86,90,100,0.658433999866247,"left","right",2,0.0627327999100089,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,100,90,76,0.59442859981209,"up","up",3,0.145341699942946,1,"up","left","right","target"
"sub01",0.85,3,100,90,76,76,90,100,1.08384349988773,"left","right",2,0.410269399639219,0,"right","left","up","distractor"
"sub01",0.7,3,100,90,63,90,100,63,0.580964399501681,"left","left",4,0.126676399726421,1,"left","up","right","target"
"sub01",0.7,3,100,90,63,63,90,100,0.499866399914026,"left","right",3,0.00251979986205697,0,"right","left","up","distractor"
"sub01",0.3,3,100,90,27,27,90,100,0.456358399707824,"left","right",3,0.0398625996895134,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,100,86,90,0.817603499628603,"left","up",4,0.0754604996182024,0,"up","right","left","dud"
"sub01",0.95,3,100,90,86,90,100,86,0.457067899871618,"left","left",4,0.0623206999152899,1,"left","up","right","target"
"sub01",0.95,3,100,90,86,100,90,86,0.634257099591196,"up","up",2,0.136089999694377,1,"up","left","right","target"
"sub01",0.7,3,100,90,63,63,100,90,0.452453899662942,"left","left",4,0.0284545994363725,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,45,90,100,0.480369599536061,"left","right",4,0.371324099600315,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,90,76,100,0.498636899515986,"left","right",4,0.0544535997323692,0,"right","up","left","dud"
"sub01",0.85,3,100,90,76,76,100,90,0.536142199765891,"left","left",2,0.0679557994008064,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,90,100,76,0.644961499609053,"left","left",2,0.116736099589616,1,"left","up","right","target"
"sub01",0.3,3,100,90,27,90,27,100,0.508981599938124,"up","right",4,0.0679335994645953,0,"right","up","left","distractor"
"sub01",0.85,3,100,90,76,100,76,90,0.440725799649954,"up","up",2,0.0761993997730315,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,100,63,90,0.457768599968404,"up","up",3,0.313119699712843,1,"up","right","left","target"
"sub01",0,2,100,90,0,90,100,0,0.788214099593461,"up","left",2,0.120184099767357,0,"left","up","right","distractor"
"sub01",0,2,100,90,0,90,100,0,0.715439599473029,"left","left",4,0.0372596997767687,1,"left","up","right","target"
"sub01",0,2,100,90,0,0,100,90,0.45181359956041,"left","left",4,0.0876286998391151,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,100,90,45,0.434311699587852,"up","up",2,0.114728099666536,1,"up","left","right","target"
"sub01",0.3,3,100,90,27,100,27,90,0.436030799522996,"up","up",4,0.177103899419308,1,"up","right","left","target"
"sub01",0.3,3,100,90,27,90,100,27,0.523474099580199,"left","left",4,0.0713443998247385,1,"left","up","right","target"
"sub01",0.95,3,100,90,86,90,86,100,0.462125499732792,"left","right",2,0.256636099889874,0,"right","up","left","dud"
"sub01",0.85,3,100,90,76,90,76,100,0.457554699853063,"up","right",4,0.0861392999067903,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,90,0,100,0.411117299459875,"up","right",2,0.171782699413598,0,"right","up","left","distractor"
"sub01",0.7,3,100,90,63,63,90,100,0.509125999640673,"left","right",4,0.0207984996959567,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,86,100,90,0.542418299242854,"left","left",4,0.359053699765354,1,"left","right","up","target"
"sub01",0.3,3,100,90,27,100,90,27,0.510154000017792,"up","up",2,0.528610099572688,1,"up","left","right","target"
"sub01",0.7,3,100,90,63,100,90,63,0.42873779963702,"up","up",2,0.143256599549204,1,"up","left","right","target"
"sub01",0.5,3,100,90,45,100,45,90,0.783358699642122,"up","up",4,0.0483098994009197,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,90,63,100,0.557709099724889,"up","right",2,0.205345299560577,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,90,0,100,0.573984999675304,"up","right",3,0.0191003996878862,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,86,90,100,0.516774799209088,"left","right",2,0.0737804998643696,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,76,90,100,0.590932999737561,"up","right",3,0.0303506995551288,0,"right","left","up","dud"
